Step,Page,Hit,Miss,Hits,Misses
1,15,false,true,0,1
2,9,false,true,0,2
3,3,false,true,0,3
4,14,false,true,0,4
5,9,true,false,1,4
6,14,true,false,2,4
7,14,true,false,3,4
8,7,false,true,3,5
9,9,true,false,4,5
10,3,true,false,5,5
11,3,true,false,6,5
12,10,false,true,6,6
