Step,Page,Hit,Miss,Hits,Misses
1,10,false,true,0,1
2,9,false,true,0,2
3,12,false,true,0,3
4,5,false,true,0,4
5,15,false,true,0,5
6,12,true,false,1,5
7,4,false,true,1,6
8,15,true,false,2,6
9,15,true,false,3,6
10,3,false,true,3,7
11,9,false,true,3,8
12,12,false,true,3,9
