Step,Page,Hit,Miss,Hits,Misses
1,9,false,true,0,1
2,6,false,true,0,2
3,11,false,true,0,3
4,5,false,true,0,4
5,9,false,true,0,5
6,9,true,false,1,5
7,6,false,true,1,6
8,9,true,false,2,6
9,7,false,true,2,7
10,3,false,true,2,8
11,2,false,true,2,9
12,5,false,true,2,10
