Step,Page,Hit,Miss,Hits,Misses
1,10,false,true,0,1
2,1,false,true,0,2
3,11,false,true,0,3
4,8,false,true,0,4
5,9,false,true,0,5
6,10,false,true,0,6
7,1,false,true,0,7
8,4,false,true,0,8
9,13,false,true,0,9
10,10,false,true,0,10
11,5,false,true,0,11
12,9,false,true,0,12
