Step,Page,Hit,Miss,Hits,Misses
1,4,false,true,0,1
2,11,false,true,0,2
3,6,false,true,0,3
4,1,false,true,0,4
5,13,false,true,0,5
6,14,false,true,0,6
7,1,false,true,0,7
8,9,false,true,0,8
9,12,false,true,0,9
10,3,false,true,0,10
11,14,false,true,0,11
12,5,false,true,0,12
