Step,Page,Hit,Miss,Hits,Misses
1,10,false,true,0,1
2,1,false,true,0,2
3,11,false,true,0,3
4,8,false,true,0,4
5,9,false,true,0,5
6,10,true,false,1,5
7,1,false,true,1,6
8,4,false,true,1,7
9,13,false,true,1,8
10,10,true,false,2,8
11,5,false,true,2,9
12,9,false,true,2,10
