Step,Page,Hit,Miss,Hits,Misses
1,15,false,true,0,1
2,1,false,true,0,2
3,8,false,true,0,3
4,13,false,true,0,4
5,3,false,true,0,5
6,8,true,false,1,5
7,9,false,true,1,6
8,2,false,true,1,7
9,9,true,false,2,7
10,15,false,true,2,8
11,1,false,true,2,9
12,8,false,true,2,10
